association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,toerseskoder,10,0.0013474822,0.025884569,-0.00027911257,0.055511623506099915
feminine,toerseskoder,11,-0.012049675,0.015085757,-0.0007910118,0.03460564518435833
feminine,leelassing,0,0.0057403743,-0.009111494,0.008564342,0.07639652222938775
feminine,leelassing,1,-0.0018804669,0.0050513446,0.004458857,0.042305780374195336
feminine,leelassing,2,0.041861326,0.021953732,0.021180494,0.03629823622889341
feminine,leelassing,3,0.07202563,0.03782624,0.026689023,0.037053942060402
feminine,leelassing,4,0.050426483,0.03224334,0.017116405,0.048471022357712557
feminine,leelassing,5,0.065785825,0.058040738,0.036656197,0.05818892944280059
feminine,leelassing,6,0.05224228,0.047527194,0.03452725,0.05276265533981782
feminine,leelassing,7,0.04983133,0.04339373,0.033326086,0.04802701130473095
feminine,leelassing,8,0.05869609,0.024162173,0.023613723,0.04759941033663777
feminine,leelassing,9,0.067337215,0.025696874,0.02122634,0.05940069415950904
feminine,leelassing,10,0.027538836,0.022387981,0.00952906,0.056140562563096234
feminine,leelassing,11,0.0031559467,0.011771679,0.0045704353,0.03514506407112611
feminine,ruinpalzend,0,-0.027991295,0.026409686,-0.0029941024,0.08744486781262584
feminine,ruinpalzend,1,-0.019112676,0.05940038,0.012059821,0.06619346058849516
feminine,ruinpalzend,2,0.019640446,0.05456713,0.017821837,0.06822734753292367
feminine,ruinpalzend,3,0.046904325,0.047897816,0.015459538,0.07135785063169332
feminine,ruinpalzend,4,0.043695867,0.039901197,0.02217382,0.07349407750835384
feminine,ruinpalzend,5,0.042981565,0.0559029,0.032641225,0.08571632599158575
feminine,ruinpalzend,6,0.03454429,0.052100062,0.02929822,0.0683177037610718
feminine,ruinpalzend,7,0.034947336,0.047722757,0.027985724,0.05477901023076781
feminine,ruinpalzend,8,0.04579264,0.029729664,0.020372465,0.05239063394428681
feminine,ruinpalzend,9,0.06252301,0.030802011,0.019696916,0.05570614629339081
feminine,ruinpalzend,10,0.03362602,0.026142776,0.009794561,0.04539599505467981
feminine,ruinpalzend,11,0.0073595047,0.012354612,0.003670931,0.02918650580031136
feminine,asstuk,0,0.012002975,0.009047955,0.002307808,0.03404989291687948
feminine,asstuk,1,-0.011618167,-0.015384972,-0.0095432345,0.04184019086936135
feminine,asstuk,2,-0.007432103,0.004597038,0.0004929248,0.0344112792713608
feminine,asstuk,3,0.0068954527,0.010718018,-0.0050363606,0.030291897775102043
feminine,asstuk,4,-0.020121902,0.0021497011,-0.004392593,0.03873066924231302
feminine,asstuk,5,-0.0065742433,0.03302467,0.010785731,0.06391823868932608
feminine,asstuk,6,-0.011835277,0.020295143,0.015070443,0.05556502650580988
feminine,asstuk,7,-0.0124107,0.030244231,0.014691502,0.05065844202079057
feminine,asstuk,8,-0.005878091,0.024530947,0.00801513,0.04649092363663047
feminine,asstuk,9,0.009419143,0.02974242,0.0094167255,0.05036649144548048
feminine,asstuk,10,-0.021363735,0.029415369,-0.0020531616,0.04769459836754818
feminine,asstuk,11,-0.020403862,0.014239013,-0.00027583455,0.028420546339403635
feminine,roeen,0,-0.0028875768,0.00047792494,-0.0052342997,0.04974100070743054
feminine,roeen,1,-0.028512537,-0.011709362,-0.002485526,0.06355321730640628
feminine,roeen,2,0.023351818,0.013772607,0.016579816,0.05632173654423056
feminine,roeen,3,0.1002211,0.02842325,0.024393173,0.058791322205289945
feminine,roeen,4,0.08445373,0.014487803,0.01910046,0.057690266961293195
feminine,roeen,5,0.092030704,0.046037793,0.036176503,0.050489333970035376
feminine,roeen,6,0.051562607,0.031568766,0.03005527,0.04258933313520773
feminine,roeen,7,0.03997928,0.036175907,0.024424862,0.033379646502880646
feminine,roeen,8,0.030401886,0.020535171,0.017174153,0.027534218499091528
feminine,roeen,9,0.041014135,0.023876727,0.016747579,0.03478479178493134
feminine,roeen,10,0.0057635903,0.02228254,0.005264694,0.02953932201637986
feminine,roeen,11,-0.0019640923,0.011524558,0.0025517703,0.02149155209694743
feminine,kleigen,0,-0.017701015,0.014641225,0.010556387,0.06870693678754246
