association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,kniversol,11,-0.01118958,0.011739433,0.0012964811,0.030061846630514234
feminine,brins,0,-0.0031623244,0.021084115,0.012089656,0.051100634350240606
feminine,brins,1,0.0063218176,0.050937414,0.019823326,0.05485136524336662
feminine,brins,2,0.031600744,0.055950195,0.025193756,0.04399682310946537
feminine,brins,3,0.06481138,0.06527415,0.024846423,0.05039595965676392
feminine,brins,4,0.053084552,0.058776736,0.02809041,0.06078981490270737
feminine,brins,5,0.0627318,0.064067304,0.035641223,0.06047243687691123
feminine,brins,6,0.021184623,0.054872394,0.029288145,0.044965764042676916
feminine,brins,7,0.016609311,0.05639857,0.02733221,0.04674369332334584
feminine,brins,8,-0.0019245148,0.033260822,0.013163774,0.04585867031537289
feminine,brins,9,0.006760359,0.03542435,0.009686313,0.05111902033443681
feminine,brins,10,-0.010359347,0.034088016,0.0014520151,0.044806360393945026
feminine,brins,11,-0.01953888,0.0203259,-0.0010013644,0.028652689643376448
feminine,aribizznika,0,0.030017227,0.009516194,0.013190741,0.09139793533427232
feminine,aribizznika,1,0.0046150684,0.035964936,0.014610145,0.07739749074560752
feminine,aribizznika,2,0.04970628,0.043213516,0.019682163,0.05632974754898622
feminine,aribizznika,3,0.08447698,0.054975033,0.015850067,0.05954983234118675
feminine,aribizznika,4,0.07471484,0.05433023,0.021332067,0.06677458444179142
feminine,aribizznika,5,0.06677529,0.07061052,0.035044037,0.06314263910584858
feminine,aribizznika,6,0.03572613,0.0613122,0.027484162,0.053911517324735675
feminine,aribizznika,7,0.029457867,0.057222366,0.027199933,0.0579245218210421
feminine,aribizznika,8,0.029659033,0.034817755,0.017589808,0.057785805776887564
feminine,aribizznika,9,0.047151744,0.034915388,0.014932086,0.06835922854271595
feminine,aribizznika,10,0.013332665,0.02967149,0.00288016,0.05757634283074255
feminine,aribizznika,11,-0.0025835037,0.01815784,0.0033424255,0.03681449208481912
feminine,stale,0,0.04186432,-0.011956632,0.02354959,0.0484926981165426
feminine,stale,1,-0.0049185157,-0.007851124,0.01759104,0.047781920358328914
feminine,stale,2,0.027864367,0.009017557,0.023270829,0.045843012297564496
feminine,stale,3,0.030275702,0.009995401,0.015019528,0.039310397389168875
feminine,stale,4,0.03665486,0.00866136,0.025022866,0.04248416544735245
feminine,stale,5,0.027668297,0.037303507,0.04319366,0.04968842324862648
feminine,stale,6,0.007169068,0.03432572,0.034770317,0.044952392578125
feminine,stale,7,0.016301095,0.04146254,0.033376448,0.03666841945795865
feminine,stale,8,0.009984374,0.024524152,0.01974953,0.03380848575764316
feminine,stale,9,0.03399068,0.030436695,0.019259447,0.03681181517289465
feminine,stale,10,-0.0031457543,0.027551293,0.0072286343,0.040299100339975254
feminine,stale,11,-0.01289314,0.016317427,0.0031074132,0.026232917301040323
feminine,midewi,0,0.039747685,0.02753359,0.020290758,0.058117512648829646
feminine,midewi,1,0.02278766,0.037921697,0.024860099,0.044031646482728
feminine,midewi,2,0.022814453,0.041060925,0.02610711,0.05194962470015555
feminine,midewi,3,0.027265608,0.03260827,0.014161982,0.06657661994525683
feminine,midewi,4,0.045524806,0.03336543,0.027351962,0.0790462506552925
feminine,midewi,5,0.034364462,0.0391106,0.03196227,0.08424454412124245
feminine,midewi,6,0.013293147,0.041926444,0.031264655,0.0667878888036319
feminine,midewi,7,0.008735955,0.043046594,0.027145453,0.061137072350769595
feminine,midewi,8,0.007322848,0.02442187,0.016317327,0.05681789134639487
feminine,midewi,9,0.029471517,0.023030877,0.011724774,0.06015111031188294
