association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,bridget,2-3,-0.016350925,0.06914064,0.033908267,0.06984538311083761
feminine,bridget,2-5,0.04106483,0.06840703,0.051826864,0.053982184147577876
feminine,bushra,0,0.0134138465,0.010647923,0.009784133,0.10018425428703968
feminine,bushra,2,-0.029539913,0.01809588,0.013977363,0.04887765994404047
feminine,bushra,2-3,0.041564047,0.014563084,0.010639054,0.06399722408117697
feminine,bushra,2-5,0.023213446,0.015185505,0.009751029,0.04765722897180711
feminine,caesar,0,-0.0072785467,-0.042608768,-0.03604709,0.04746319614342052
feminine,caesar,2,-0.031186849,-0.021253973,-0.020961432,0.05351626054706621
feminine,caesar,2-3,-0.03159517,-0.047629297,-0.035957888,0.040087426446603944
feminine,caesar,2-5,-0.03742206,-0.054301858,-0.043589417,0.04769730031106849
feminine,caithlin,0,0.036001652,0.058588922,0.030152408,0.0852657992576327
feminine,caithlin,2,-0.0069928467,0.02127695,0.015620228,0.08926927338523981
feminine,caithlin,2-3,-0.0064886212,0.01981166,0.014279075,0.043907411443715995
feminine,caithlin,2-5,0.013256282,0.054045945,0.02299138,0.07490302536914144
feminine,cansu,0,0.025814682,0.018522859,-0.0036717341,0.0962513818966759
feminine,cansu,2,-0.023375154,0.027639896,0.003551831,0.044446264807781015
feminine,cansu,2-3,-0.039695263,0.0389394,0.027346084,0.05933113038176969
feminine,cansu,2-5,-0.022814065,0.0027976632,-0.022276493,0.049643580872967885
feminine,carlien,0,0.0571817,0.03537011,0.027028538,0.08034488684092157
feminine,carlien,2,0.024893373,0.024949342,0.0014371132,0.06232222591239761
feminine,carlien,2-3,-0.021709561,0.02671343,-0.004041254,0.07068070720165999
feminine,carlien,2-5,0.06455031,0.048086524,0.02349685,0.06922254558429748
feminine,cas,0,0.006666243,0.013566345,-0.0029315515,0.09678923536699822
feminine,cas,2,-0.008156717,0.0026506186,-0.02214559,0.06096922174116767
feminine,cas,2-3,-0.045062184,0.003785789,-0.019790817,0.0719129649994923
feminine,cas,2-5,0.013110802,0.0051569045,-0.028062733,0.08207961768225987
feminine,cassidy,0,0.053097755,0.016162276,0.009564144,0.049174172123974964
feminine,cassidy,2,0.0073770285,0.01202783,0.0023056776,0.05201486418291691
feminine,cassidy,2-3,0.0091454685,0.0016583502,0.0155274095,0.05016160447292437
feminine,cassidy,2-5,0.016696572,0.017318904,0.009333713,0.03505303543360285
feminine,charley,0,-0.0045292526,0.0024127364,-0.024248822,0.0957421301161035
feminine,charley,2,-0.016659647,-0.0016028881,-0.010942297,0.07500625661244095
feminine,charley,2-3,-0.007349938,0.008594781,-0.0027913789,0.04925767309394489
feminine,charley,2-5,0.041356236,-0.00066643953,-0.014692236,0.055839527628918785
feminine,chiron,0,-0.0058276057,0.003433913,-0.02563376,0.050923505847095325
feminine,chiron,2,-0.019451201,-0.033192605,-0.030706102,0.07706769508600084
feminine,chiron,2-3,-0.028555483,-0.030976176,-0.045518573,0.044708111342902285
feminine,chiron,2-5,-0.03396371,-0.016801655,-0.044167157,0.03678595785156955
feminine,clazina,0,0.005674407,0.00274688,0.02280332,0.1374749185162837
feminine,clazina,2,0.0024792254,0.03067717,0.019268543,0.06655093167523038
feminine,clazina,2-3,0.00086289644,0.06886119,0.038306456,0.0896712751948438
feminine,clazina,2-5,0.01323083,0.057051033,0.051755324,0.104236298374803
feminine,coenraad,0,-0.030195922,-0.044959128,-0.03515463,0.156309271537725
feminine,coenraad,2,-0.022836626,-0.017589033,-0.013136902,0.08106921824080424
feminine,coenraad,2-3,-0.048056096,-0.0070800185,-0.013398336,0.07587594845185283
feminine,coenraad,2-5,-0.030244976,-0.038038254,-0.037874334,0.11203132614095912
feminine,craig,0,0.0070607364,-0.03337291,-0.038244672,0.05546149824315468
feminine,craig,2,-0.029423773,-0.03457418,-0.025410198,0.03662145137612244
feminine,craig,2-3,-0.016898364,-0.033381045,-0.027847107,0.04100627168092444
feminine,craig,2-5,-0.018696606,-0.031654418,-0.039488137,0.043540143783664144
feminine,cristiaan,0,0.0019342601,-0.05326149,-0.027442172,0.13509602748522684
feminine,cristiaan,2,-0.015882969,-0.021220654,-0.02756669,0.06498211466725887
feminine,cristiaan,2-3,0.016406238,-0.05394879,-0.031045064,0.04342296020166501
feminine,cristiaan,2-5,0.0021196902,-0.045507073,-0.043636817,0.06986019234871307
feminine,cristian,0,0.046270356,-0.03588453,-0.019017158,0.06483485867542416
feminine,cristian,2,0.00018137693,-0.038465977,-0.02742518,0.04223889552565537
feminine,cristian,2-3,0.019747943,-0.03412035,-0.021644944,0.05307792311501704
feminine,cristian,2-5,0.027082145,-0.026132703,-0.024143863,0.05631817710996464
feminine,cyril,0,0.025423795,-0.030433327,-0.039277613,0.07326107099608258
feminine,cyril,2,0.030598849,-0.025576204,-0.0138640115,0.04995305970429015
feminine,cyril,2-3,0.034773678,-0.05935982,-0.029366579,0.05827070032061836
feminine,cyril,2-5,0.012575552,-0.017897248,-0.0448853,0.07800909922383371
feminine,damanja,0,-0.004463494,0.021833092,-0.008251137,0.10097933199126352
feminine,damanja,2,0.03365782,0.051550627,0.021753283,0.06569731125868436
feminine,damanja,2-3,0.02576384,0.026084423,0.021063296,0.04008769506901612
feminine,damanja,2-5,0.070038676,0.030491412,0.03672709,0.034715096583625565
feminine,damla,0,0.05201167,0.059331357,0.03793068,0.09264849229858127
feminine,damla,2,0.0033366084,0.03876093,0.0269211,0.0749460647284396
feminine,damla,2-3,0.019327462,0.06820074,0.0531152,0.03972310185011349
feminine,damla,2-5,0.028531343,0.03921768,0.04362618,0.046244370236273646
feminine,dana,0,0.060220316,0.06566718,0.046624944,0.07101192560201994
feminine,dana,2,0.025630802,0.07874161,0.040554438,0.05775817093569621
feminine,dana,2-3,0.024707258,0.100159764,0.06381166,0.04288845525353591
feminine,dana,2-5,0.06306888,0.089040995,0.04824949,0.06848401559504329
feminine,deepak,0,0.0346895,-0.014778376,0.0020683128,0.06548055052528858
feminine,deepak,2,0.0081320405,-0.008868039,-0.016426666,0.06931676398040135
feminine,deepak,2-3,-0.020943433,0.0021393597,-0.0013757112,0.044316772276172506
feminine,deepak,2-5,0.030419081,-0.030873716,-0.0075468775,0.03494875325299798
feminine,diederik,0,-0.027452484,-0.031478822,-0.04258033,0.07762621862553745
feminine,diederik,2,-0.017053217,-0.011161089,-0.029515743,0.061662898112958095
feminine,diederik,2-3,-0.019674212,-0.00039619207,-0.035129134,0.06309596179884927
feminine,diederik,2-5,-0.008812159,-0.016504914,-0.03240974,0.056345793000724474
feminine,dinant,0,0.0016195476,-0.016028613,-0.023513235,0.06440446562958213
feminine,dinant,2,-0.014994711,-0.009556979,-0.0044927266,0.05755489020313842
feminine,dinant,2-3,-0.003775388,0.030493498,-0.0089217005,0.057682158320741396
feminine,dinant,2-5,-0.012423933,0.009028703,-0.027189987,0.05086024266043429
feminine,dusty,0,0.033694208,0.013572723,0.0009485734,0.0629777714736659
feminine,dusty,2,0.0073204935,0.007304102,0.009085289,0.0629412342290067
feminine,dusty,2-3,0.01294589,0.0071614385,0.021422496,0.061272630290903976
feminine,dusty,2-5,0.029408842,0.03096801,0.0067592496,0.0603676323189928
feminine,egbertje,0,-0.020222813,-0.0113120675,0.0103609115,0.1583275894066382
feminine,egbertje,2,-0.026697874,0.012322664,-0.011710148,0.15230716363812144
feminine,egbertje,2-3,-0.009666622,0.025987923,0.0011569824,0.15330131072848288
feminine,egbertje,2-5,-0.011697888,0.021869868,0.003244784,0.1324995926859731
feminine,elisa,0,0.06549594,0.030659884,0.063038915,0.10269540493635601
feminine,elisa,2,0.031630903,0.05800748,0.04276822,0.06093888510450347
feminine,elisa,2-3,0.004935682,0.07280865,0.054368846,0.06470461749644901
feminine,elisa,2-5,0.07327816,0.05351293,0.07526956,0.09784314391570732
feminine,ellemijn,0,0.046413988,0.057492793,0.029692622,0.11188569067111213
feminine,ellemijn,2,0.02380997,0.0048731565,-0.00050296116,0.0621100026074975
feminine,ellemijn,2-3,-0.024742603,0.031112343,0.008548074,0.06401561949420073
feminine,ellemijn,2-5,0.04095629,0.047998607,0.04179818,0.1010655339513412
feminine,elmira,0,0.04006602,0.033807218,0.021563726,0.1169657078614143
feminine,elmira,2,0.025155902,0.030982941,0.010328312,0.04249733831068369
feminine,elmira,2-3,0.0020017922,0.036343038,0.020653868,0.06904795101270021
feminine,elmira,2-5,0.026018083,0.083964676,0.032453123,0.09166576782873218
feminine,els,0,0.064665094,0.055615306,0.03431709,0.07062463882657763
feminine,els,2,0.023326129,0.054404348,0.020088464,0.038685273609244904
feminine,els,2-3,0.0011526942,0.05814454,0.020131255,0.039500266063863976
feminine,els,2-5,0.044502884,0.06964776,0.034357596,0.046940368035659874
feminine,elton,0,0.036217734,-0.0045302063,-0.013742289,0.059480035884627656
feminine,elton,2,0.0122232735,-0.015992314,-0.011336947,0.04666455035399305
feminine,elton,2-3,-0.029453427,-0.022876084,-0.025281912,0.05589332132631509
feminine,elton,2-5,0.01636064,-0.00095945597,-0.01466336,0.06712425077053963
feminine,ema,0,0.029663622,0.012422413,0.006047186,0.08664635888673519
feminine,ema,2,0.02319166,0.048625886,0.04014537,0.05364991536319301
feminine,ema,2-3,0.044908196,0.049314648,0.04581957,0.06296328115024126
feminine,ema,2-5,0.021045148,0.043563932,0.033221282,0.07005879871922274
feminine,evert,0,-0.006568119,-0.019249856,-0.022104187,0.14957726360556375
feminine,evert,2,-0.028199047,-0.023693442,-0.021552362,0.10178573997620925
feminine,evert,2-3,-0.048695654,-0.014338732,-0.026848644,0.09130795626494283
feminine,evert,2-5,0.0006380677,-0.032500684,-0.034145035,0.12276408078219103
feminine,falco,0,0.02527327,-0.01689589,-0.025097806,0.06945237939754059
feminine,falco,2,0.0029670298,-0.0070635974,-0.01352648,0.060125492023052875
feminine,falco,2-3,-0.0253229,-0.008055866,-0.021345885,0.061519984118103756
feminine,falco,2-5,-0.0046306252,0.004107356,-0.03289574,0.08904457204638347
feminine,farley,0,0.059880063,0.007032037,0.006497733,0.04193010842524447
feminine,farley,2,0.008149892,0.001883477,0.0034735866,0.049702516174604944
feminine,farley,2-3,0.036886543,0.014112771,0.012129134,0.03870400042067439
feminine,farley,2-5,0.030374676,-0.0057820976,-0.011888038,0.040778413629186425
feminine,fin,0,-0.026076034,-0.00906796,-0.010984788,0.0765163993227609
feminine,fin,2,0.0028186142,-0.014895499,-0.0037206053,0.05715205057942538
feminine,fin,2-3,-0.0015358925,-0.027852565,-0.010987506,0.059386665992585415
feminine,fin,2-5,-0.0038953125,-0.011756718,-0.02414904,0.05711468087478547
feminine,firat,0,-0.00064109266,-0.036833495,-0.033413943,0.10021400667657648
feminine,firat,2,-0.006423086,-0.03061524,-0.012300383,0.06601131681909855
feminine,firat,2-3,-0.04867065,-0.022818118,-0.026969207,0.0705681200819743
feminine,firat,2-5,-0.036620796,-0.03807217,-0.047296792,0.0547455581655172
feminine,francesca,0,0.055042297,0.045315474,0.063858375,0.0562479056028031
feminine,francesca,2,0.03376943,0.07539189,0.043842863,0.04957781335881218
feminine,francesca,2-3,0.027982444,0.084024906,0.04745677,0.0524413191405697
feminine,francesca,2-5,0.055117667,0.07743877,0.05186127,0.045952769850766156
feminine,franka,0,0.042551324,0.05506414,0.028827265,0.0941597210839025
feminine,franka,2,0.026215643,0.059509873,0.032591973,0.06106199628059455
feminine,franka,2-3,-0.013566852,0.074578285,0.034858894,0.05676767060820105
feminine,franka,2-5,0.05731307,0.07237825,0.03852791,0.07046149283085702
feminine,frits,0,-0.016397461,0.009144127,-0.03253885,0.1106048521253375
feminine,frits,2,-0.017445564,-0.017152548,-0.028117782,0.06887532415482488
feminine,frits,2-3,-0.016395628,-0.020571172,-0.02927364,0.06950021142078393
feminine,frits,2-5,-0.0013498664,-0.030010313,-0.044958223,0.08559908395064958
feminine,gaston,0,0.030365944,-0.044788092,-0.035451103,0.08884014514663481
feminine,gaston,2,-0.034516156,-0.058274448,-0.038215768,0.05450565041935215
feminine,gaston,2-3,-0.0276635,-0.044289052,-0.03590143,0.05056821170116561
feminine,gaston,2-5,0.022185534,-0.011711717,-0.026604531,0.06716733840686541
feminine,geena,0,0.03789571,0.0654915,0.04769213,0.04198658567589955
feminine,geena,2,0.045266688,0.050445765,0.03438055,0.028702508246950004
feminine,geena,2-3,0.004050672,0.0561558,0.047216028,0.05092828124896563
feminine,geena,2-5,0.046028465,0.09818095,0.06451941,0.045298798725850714
feminine,geessien,0,-0.014258057,-0.00954622,0.012536947,0.15907946163605494
feminine,geessien,2,0.002466321,-0.023574233,-0.015377042,0.07918733785205459
feminine,geessien,2-3,-0.034643054,-0.017680049,-0.01473774,0.05157802051983143
feminine,geessien,2-5,-0.0022770464,-0.039735943,-0.003877527,0.09343494186120964
feminine,gerbrand,0,0.00849919,-0.04190412,-0.020100227,0.09738506333664503
feminine,gerbrand,2,-0.029859036,-0.05097547,-0.035997987,0.0633197387749333
feminine,gerbrand,2-3,-0.027870893,-0.038732976,-0.026776195,0.054494865498657896
feminine,gerbrand,2-5,-0.02583599,-0.021809816,-0.03130003,0.07173411371498824
feminine,gerrita,0,0.035649985,0.026138902,0.013842244,0.059034344052379395
feminine,gerrita,2,0.019292027,0.04050523,-0.0010677531,0.04865048041617382
feminine,gerrita,2-3,-0.020079195,0.021366745,-0.0061438265,0.0547984139487669
feminine,gerrita,2-5,0.017874777,0.02914846,0.012789661,0.07514589407368616
feminine,geurt,0,0.023260638,-0.014871895,-0.010702444,0.07311203518687294
feminine,geurt,2,-0.027471691,-0.038778186,-0.016608413,0.06168026841115361
feminine,geurt,2-3,-0.039005607,-0.038371146,-0.0145581,0.0529064158099337
feminine,geurt,2-5,-0.02579996,-0.025877923,-0.033940542,0.052137487044003554
feminine,gijsje,0,0.040972427,0.0398013,0.020366894,0.16263938918108248
feminine,gijsje,2,0.032312512,0.0342474,0.014248841,0.11317289036852655
feminine,gijsje,2-3,0.03610462,0.023326635,0.012588568,0.12875034556759132
feminine,gijsje,2-5,0.0226852,-0.014246553,-0.013978093,0.14501838169862472
feminine,giovanna,0,0.055259928,0.044814378,0.06640544,0.062237469444063415
feminine,giovanna,2,0.01794529,0.05178383,0.031802084,0.045253730348814004
feminine,giovanna,2-3,0.0134978,0.007007152,0.013985691,0.03884438625849984
feminine,giovanna,2-5,0.03922382,0.008362681,0.02273308,0.0690490064449531
feminine,gioya,0,0.018347353,0.022814333,0.0068198503,0.09393897481307562
feminine,gioya,2,-0.0042488575,0.025409997,0.014923103,0.03353174706039079
feminine,gioya,2-3,-0.0009799898,-0.02636543,-0.010351611,0.04367231103298974
feminine,gioya,2-5,0.04683426,0.002244532,0.022814058,0.02731766797923546
feminine,harmanna,0,-0.019834995,-0.0029406548,0.017109029,0.15664851508876573
feminine,harmanna,2,-0.012569606,0.049390256,0.017347783,0.052798106835793404
feminine,harmanna,2-3,-0.021918923,0.039223522,0.030056339,0.04729800051432813
feminine,harmanna,2-5,-0.005124867,-0.007508278,0.00981988,0.08456315721720245
feminine,hatun,0,0.026829064,0.0104620755,0.033732954,0.08134827813944602
feminine,hatun,2,-0.009612501,-0.028523624,-0.0013044823,0.04196090281392214
feminine,hatun,2-3,0.018142506,-0.013123006,-0.00625882,0.05045065418480058
feminine,hatun,2-5,-0.0070984364,-0.016492844,-0.0109039135,0.045862998368417784
feminine,heimen,0,0.027704477,-0.026911676,-0.002423292,0.13607353140190756
feminine,heimen,2,-0.013626933,-0.04365948,-0.024171095,0.08413487356730555
feminine,heimen,2-3,-0.009781688,-0.012564033,-0.030704252,0.0642405783954961
feminine,heimen,2-5,0.056387752,-0.0094614625,0.009053163,0.08996317534783557
feminine,hendricus,0,-0.040637255,-0.07800022,-0.037255738,0.15265507554116894
feminine,hendricus,2,-0.030854136,-0.044944227,-0.03463392,0.10455874970141182
feminine,hendricus,2-3,-0.07643163,-0.06602961,-0.05613081,0.08758962003234184
feminine,hendricus,2-5,-0.052700385,-0.095591694,-0.053862367,0.11901659841641468
feminine,hessel,0,0.0001795739,-0.03609693,-0.037422847,0.10917241203620437
feminine,hessel,2,-0.030106038,-0.03310442,-0.025112905,0.0775020919602063
