association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,steijden,0,0.0,0.0,0.0,0.0
feminine,steijden,2,-0.010822147,-0.031646848,-0.026226094,0.06842773969935248
feminine,steijden,2-3,-0.027559668,-0.0019395947,-0.02358714,0.06167643120814794
feminine,steijden,2-5,0.022672057,-0.028584301,-0.0309997,0.07560761237055803
feminine,heizebouderipen,0,0.0,0.0,0.0,0.0
feminine,heizebouderipen,2,-0.0098950565,0.0016011596,-0.028338842,0.08844439045816577
feminine,heizebouderipen,2-3,-0.021640748,-0.024532944,-0.035503026,0.05794195199679966
feminine,heizebouderipen,2-5,-0.021727204,-0.0064212084,-0.04146701,0.051460120764343996
feminine,cales,0,0.040841788,0.0131136775,0.008242866,0.0454099460309813
feminine,cales,2,0.011310011,-0.0010650754,-0.005103458,0.04483273722335489
feminine,cales,2-3,-0.03603807,-0.009180963,-0.015257806,0.07468270547792391
feminine,cales,2-5,0.0048726797,0.007417679,-0.0012699184,0.06428417908412103
feminine,dijtruitie,0,0.0,0.0,0.0,0.0
feminine,dijtruitie,2,0.014923543,0.041675895,0.0012319095,0.07354858207484202
feminine,dijtruitie,2-3,0.016146839,0.03372085,0.0035736372,0.06872951909628978
feminine,dijtruitie,2-5,0.05863148,0.019963533,0.012149595,0.06302004020890675
feminine,rmbvcom,0,0.0,0.0,0.0,0.0
feminine,rmbvcom,2,-0.05701372,0.017352298,-0.02315932,0.06957009561773697
feminine,rmbvcom,2-3,-0.082678005,0.007829592,-0.008531634,0.05566550763245289
feminine,rmbvcom,2-5,-0.05282004,0.014791042,-0.032053385,0.048191183943574696
feminine,atraa,0,0.0,0.0,0.0,0.0
feminine,atraa,2,-0.0029955208,0.029699951,0.02381987,0.046046376230647175
feminine,atraa,2-3,0.030057698,-0.0030787885,0.032051455,0.05437512890688097
feminine,atraa,2-5,0.02504456,0.048858643,0.019262606,0.05153366803596948
feminine,ubbvii,0,0.0,0.0,0.0,0.0
feminine,ubbvii,2,0.0017448664,-0.035071447,-0.024959754,0.058573029748691684
feminine,ubbvii,2-3,-0.012384832,0.008010745,0.007898366,0.0829852129520953
feminine,ubbvii,2-5,-0.026897043,0.006415695,-0.019647,0.04790804167060935
feminine,sueltuis,0,0.0,0.0,0.0,0.0
feminine,sueltuis,2,0.018692553,0.011691302,-0.0106447395,0.08015013864338491
feminine,sueltuis,2-3,0.019503176,-0.00065511465,0.016978988,0.04828856378083917
feminine,sueltuis,2-5,0.015744358,0.020649374,0.005147594,0.04856276647867146
feminine,sakka,0,0.008063465,-0.015798926,-0.019853689,0.08773371942925716
feminine,sakka,2,0.038192242,0.054143727,0.031678695,0.05506033973794261
feminine,sakka,2-3,0.0012075007,-0.015864044,0.0065604798,0.0531645663438644
feminine,sakka,2-5,-0.018767834,-0.047171444,-0.031313613,0.05335852795804063
feminine,gekyaycom,0,0.0,0.0,0.0,0.0
feminine,gekyaycom,2,-0.050209016,-0.027443707,-0.03984806,0.058173244281917294
feminine,gekyaycom,2-3,-0.032514095,0.026187927,0.0016661648,0.04807001241032005
feminine,gekyaycom,2-5,-0.032080233,0.03079483,-0.025427023,0.045215383818925245
feminine,bijvedinge,0,0.0,0.0,0.0,0.0
feminine,bijvedinge,2,0.0064056814,0.031410098,-0.00012138438,0.08088444445546306
feminine,bijvedinge,2-3,0.035841316,0.06993842,0.02774088,0.055892279910242364
feminine,bijvedinge,2-5,0.023990452,0.059477657,0.044927217,0.04966393149840051
feminine,danden,0,0.0,0.0,0.0,0.0
feminine,danden,2,0.0025313795,0.005799681,-0.016750729,0.060047875587723974
feminine,danden,2-3,0.039319366,0.028758407,0.022284731,0.04830402916347513
feminine,danden,2-5,0.033016324,0.026817739,-0.0009433693,0.060481027975677136
feminine,keyergo,0,0.0,0.0,0.0,0.0
feminine,keyergo,2,-0.00829421,0.005346954,0.0004976208,0.06886710575334758
feminine,keyergo,2-3,-0.019305497,0.012668982,-0.018660149,0.03335652433282665
feminine,keyergo,2-5,-0.012486011,-0.021144181,-0.042795613,0.04243118754497283
feminine,svoneusio,0,0.0,0.0,0.0,0.0
feminine,svoneusio,2,-0.029124737,0.00014346838,-0.019200208,0.05340918393750685
feminine,svoneusio,2-3,0.01309067,0.006316364,-0.0024641473,0.0478844505292223
feminine,svoneusio,2-5,-0.027784392,0.01662165,-0.012907231,0.053353007828243
feminine,itayle,0,0.0,0.0,0.0,0.0
feminine,itayle,2,-0.032048225,0.029887378,0.0052598794,0.07939000580149592
feminine,itayle,2-3,-0.0077410936,-0.0076582134,-0.008720129,0.04424085577995329
feminine,itayle,2-5,0.0045216978,-0.016617805,-0.016716262,0.054717755888841306
feminine,surajons,0,0.0,0.0,0.0,0.0
feminine,surajons,2,0.011002183,-0.003493011,-0.005145921,0.06619679502499369
feminine,surajons,2-3,0.0071130693,-0.05012536,-0.03008376,0.062453105216563595
feminine,surajons,2-5,-0.034811676,-0.04973805,-0.050488487,0.037189985861357584
feminine,vetenzo,0,0.0,0.0,0.0,0.0
feminine,vetenzo,2,-0.002878517,-0.002640009,-0.022153875,0.06560980856562092
feminine,vetenzo,2-3,0.007861674,-0.05622366,-0.043025605,0.057468067779661056
feminine,vetenzo,2-5,0.048229218,-0.040534407,-0.008893586,0.037216565019560485
feminine,uptiseneeus,0,0.0,0.0,0.0,0.0
feminine,uptiseneeus,2,0.0017890632,-0.0028440952,-0.03893007,0.07834324750636411
feminine,uptiseneeus,2-3,0.014562964,0.021647006,-0.0026179666,0.10604050420265713
feminine,uptiseneeus,2-5,-0.0029224157,0.024356246,-0.0036950447,0.06309654852261357
feminine,thoemaility,0,0.0,0.0,0.0,0.0
feminine,thoemaility,2,0.0314309,0.054632068,0.0177814,0.09773801718282416
feminine,thoemaility,2-3,0.036362797,0.03304583,0.024526047,0.044252645505741685
feminine,thoemaility,2-5,0.001916036,0.017704293,0.007578928,0.043995313544096734
feminine,artivilan,0,0.0,0.0,0.0,0.0
feminine,artivilan,2,-0.02469349,0.01300925,-0.018967895,0.08271427706059307
feminine,artivilan,2-3,0.004123062,0.010998189,0.0057325657,0.052000547219913776
feminine,artivilan,2-5,0.026944011,0.004957944,0.014372588,0.0964331566236732
feminine,renfronge,0,0.0,0.0,0.0,0.0
