association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,ananda,9,0.05293852,0.035723984,0.029606748,0.043383648882345874
feminine,ananda,10,0.034401774,0.038021564,0.021605138,0.04010540855923739
feminine,ananda,11,0.0047085285,0.017331779,0.011297622,0.021433932926835916
feminine,angelien,0,-0.011828184,0.03522274,0.022357533,0.15364322552380608
feminine,angelien,1,-0.016093552,0.029318362,0.02503165,0.09491337710673232
feminine,angelien,2,0.010285348,0.025315076,0.022284737,0.08679172124163136
feminine,angelien,3,0.040614128,0.031466216,0.018885916,0.0904789374434823
feminine,angelien,4,0.015287697,0.022100031,0.010570316,0.08597030338692133
feminine,angelien,5,0.0057484508,0.045901418,0.024770139,0.08732212370439235
feminine,angelien,6,0.009917498,0.043362677,0.020749297,0.06999216356222768
feminine,angelien,7,0.0064932704,0.03908533,0.01996443,0.06658343210981878
feminine,angelien,8,-0.0040397644,0.029183686,0.011464885,0.06407756555583255
feminine,angelien,9,0.012061417,0.027988672,0.010139955,0.07208443492957693
feminine,angelien,10,-0.017407417,0.028661668,0.0022429978,0.0665329747802901
feminine,angelien,11,-0.025886357,0.01732719,0.0006627824,0.04077275211396272
feminine,anica,0,0.028188467,0.032731175,0.029793939,0.06891988455566828
feminine,anica,1,0.022024155,0.022794753,0.027746093,0.036683265046410056
feminine,anica,2,0.033981353,0.01700741,0.02889669,0.036379996434861867
feminine,anica,3,0.07008228,0.029835522,0.027324189,0.0387919294002768
feminine,anica,4,0.074444205,0.027947426,0.037487768,0.03942216753917262
feminine,anica,5,0.057100713,0.040567398,0.039130196,0.03836433283189312
feminine,anica,6,0.042344987,0.0492723,0.034426305,0.03826582437270949
feminine,anica,7,0.041569233,0.051005304,0.03129173,0.03841247479796475
feminine,anica,8,0.04430145,0.031354368,0.024931401,0.03298689755191024
feminine,anica,9,0.067882955,0.03406495,0.025866292,0.03736175496104191
feminine,anica,10,0.053874493,0.033183813,0.01789322,0.033503504272585506
feminine,anica,11,0.007629752,0.015572071,0.0077472883,0.018158278742947995
feminine,anne,0,-0.021990985,0.030975178,0.021427345,0.06950610729568536
feminine,anne,1,-0.035964996,0.0045907497,0.02570372,0.07871627872320072
feminine,anne,2,-0.028024256,0.0121721625,0.026913855,0.061114054230299884
feminine,anne,3,-0.037909508,0.004303217,0.0100813415,0.06789484911903983
feminine,anne,4,-1.0371208e-05,0.005628884,0.018748622,0.07233542216218644
feminine,anne,5,0.019304872,0.026016831,0.032640476,0.05893417647569177
feminine,anne,6,0.008624136,0.02826792,0.029451545,0.04539129162740418
feminine,anne,7,0.006049156,0.032802463,0.029111283,0.04321028680014889
feminine,anne,8,0.008671701,0.016473651,0.021803578,0.04255727013319275
feminine,anne,9,0.03272122,0.017639935,0.021116057,0.03977912753219846
feminine,anne,10,0.02731061,0.023140967,0.015176567,0.03259737182353679
feminine,anne,11,0.0012723804,0.012982726,0.008283115,0.016962176538775922
feminine,annegreet,0,0.0044608116,0.008714199,0.036487643,0.09053445765455416
feminine,annegreet,1,-0.024998352,0.022623539,0.034897503,0.062086559549587333
feminine,annegreet,2,-0.0020831227,0.019287825,0.037686054,0.058361505149740575
feminine,annegreet,3,0.0011153519,0.026497453,0.031074496,0.0644572213345055
feminine,annegreet,4,-0.009254158,0.017315596,0.03638161,0.07541585756933944
feminine,annegreet,5,0.025500536,0.05464536,0.05562329,0.08785541146897159
feminine,annegreet,6,0.013828933,0.045966506,0.042102464,0.06544199514639246
feminine,annegreet,7,0.011006832,0.044597268,0.036888476,0.06131626814830135
feminine,annegreet,8,0.0048184395,0.032006204,0.023058183,0.06076875531865408
feminine,annegreet,9,0.030252576,0.031239688,0.02241007,0.06436335930620153
feminine,annegreet,10,-0.0005315542,0.032883286,0.014272124,0.06008512407192949
feminine,annegreet,11,-0.015122175,0.01958108,0.007872485,0.03507099808804398
feminine,annemarije,0,-0.006952375,-0.0066412985,0.030802134,0.07178690580656508
feminine,annemarije,1,-0.023924023,0.0010623634,0.0466827,0.04655295500193883
feminine,annemarije,2,0.005869031,0.018671751,0.04703244,0.034869701798712335
feminine,annemarije,3,-0.01279223,0.011459947,0.035225734,0.03527729567521433
feminine,annemarije,4,-0.004682839,0.018211842,0.039513137,0.03904986922382093
feminine,annemarije,5,0.016826272,0.045648217,0.053522535,0.05330681708656824
feminine,annemarije,6,0.014415681,0.04064226,0.041768953,0.038128150874228287
feminine,annemarije,7,0.012757838,0.041369975,0.036454163,0.037287721158524155
feminine,annemarije,8,0.028442383,0.030242085,0.028103638,0.036714078157054436
feminine,annemarije,9,0.04249537,0.031004667,0.025843043,0.04242464074757616
feminine,annemarije,10,0.01985836,0.02824229,0.016228642,0.041849523323196
feminine,annemarije,11,0.0002156496,0.017701745,0.008960518,0.02614577254107647
feminine,anno,0,0.01744014,-0.026992694,-0.006319394,0.03780981681403062
feminine,anno,1,0.024695963,-0.00081691146,-0.007512105,0.04032907908120995
feminine,anno,2,0.021982431,-0.0035500526,0.0042940164,0.05026549218340785
feminine,anno,3,0.06408048,0.0069927573,0.019752225,0.05518124983702528
feminine,anno,4,0.055754274,-0.0136016905,0.012368364,0.05077120791692173
feminine,anno,5,0.075099885,0.02139306,0.027112229,0.04117913097842513
feminine,anno,6,0.04738593,0.0120408535,0.020042237,0.03760941587811599
feminine,anno,7,0.0333122,0.012934029,0.014934,0.0318114976743768
feminine,anno,8,0.019576252,0.010822117,0.009313754,0.02728970649279073
feminine,anno,9,0.033954203,0.007030666,0.010672315,0.02413300382347499
feminine,anno,10,0.004373014,0.0032268763,0.0021161116,0.021996408446216247
feminine,anno,11,-0.0047213435,0.007968068,0.0024374565,0.014494684072116132
feminine,annouk,0,-0.0004798323,0.02467975,0.04148504,0.06031257919691747
feminine,annouk,1,-0.019138217,0.027880669,0.042639032,0.05082883576808798
feminine,annouk,2,-0.026174217,0.039476693,0.03805877,0.046706849240220144
feminine,annouk,3,-0.0077590942,0.039730698,0.029441766,0.04308226476139611
feminine,annouk,4,0.0059723556,0.048448145,0.04125814,0.052882370966813544
feminine,annouk,5,0.010159612,0.061195433,0.04545923,0.053588536984897045
feminine,annouk,6,0.013446987,0.04509574,0.03815279,0.03692251927271344
feminine,annouk,7,0.0062978268,0.03754413,0.029198945,0.033932603392800076
feminine,annouk,8,0.002786398,0.028771043,0.020231748,0.03475931216102383
feminine,annouk,9,0.018880188,0.031259418,0.018973902,0.03403636823245554
feminine,annouk,10,0.003942132,0.039197147,0.017941244,0.03809825685747938
feminine,annouk,11,-0.013952255,0.020669818,0.008617271,0.02297773137154584
feminine,ashwien,0,0.0051828623,0.020795718,0.029062869,0.14526743523346952
feminine,ashwien,1,-0.0046946704,0.030011833,0.04247801,0.08544165714049015
feminine,ashwien,2,0.024054736,0.024819255,0.035909895,0.0645700102889598
feminine,ashwien,3,0.030571342,0.04012254,0.02846245,0.07960658102214532
feminine,ashwien,4,0.060951144,0.034300804,0.034167156,0.06124919364724421
feminine,ashwien,5,0.034936488,0.033585846,0.03252389,0.08067382240826428
feminine,ashwien,6,0.022065997,0.038941324,0.030241353,0.06470730181889914
feminine,ashwien,7,0.014396369,0.042280257,0.02832929,0.061639804387401846
feminine,ashwien,8,0.021985352,0.024685442,0.018658891,0.05752936029892085
